,Player,ELO,Role,Form,LastPlayed,DaysSinceLastMatch,FormCategory,Status

1,CV Varun,1804,bowler,0.2529371047568415,2025-03-12,1,High,Active

2,MA Starc,1794,bowler,0.3052097494973749,2025-03-12,1,High,Active

6,Shubman Gill,1756,batsman,0.2255024375646805,2025-02-28,13,High,Active

7,SP Narine,1751,bowler,0.2648039750023984,2025-03-12,1,High,Active

9,Mohammed Shami,1743,bowler,0.2505735372535034,2024-12-31,72,High,Active

11,VR Iyer,1742,batsman,0.2011862706491484,2025-03-12,1,High,Active

13,AD Russell,1738,all-rounder,0.2071456262392586,2025-03-12,1,High,Active

14,SS Iyer,1736,batsman,0.1819506873688825,2025-03-12,1,Medium,Active

15,PD Salt,1735,batsman,0.3144722286685019,2025-03-01,12,High,Active

16,Harshit Rana,1734,bowler,0.259977342140777,2025-03-12,1,High,Active

18,Yash Dayal,1731,bowler,0.21107326007326,2025-03-10,3,High,Active

20,Q de Kock,1726,batsman,0.2073845882843619,2025-03-04,9,High,Active

22,Abhishek Sharma,1724,batsman,0.1885514917761261,2025-03-12,1,Medium,Active

25,MM Sharma,1718,bowler,0.2534671631496116,2025-02-28,13,High,Active

27,TM Head,1715,batsman,0.2518903741237257,2025-03-12,1,High,Active

30,JC Buttler,1711,batsman,0.2413071925530475,2025-03-02,11,High,Active

31,KV Sharma,1709,bowler,0.2053168525123545,2025-03-10,3,High,Active

32,I Sharma,1708,bowler,0.1903266006269116,2025-03-04,9,Medium,Active

34,LH Ferguson,1707,bowler,0.2436033489792547,2025-03-10,3,High,Active

35,VG Arora,1706,bowler,0.1974702084952085,2025-03-12,1,High,Active

36,SO Hetmyer,1701,batsman,0.1529589829212725,2025-03-11,2,Medium,Active

38,RR Pant,1700,batsman,0.2448809000080339,2025-03-04,9,High,Active

39,A Mishra,1697,bowler,0.2460261605150109,2025-02-13,28,High,Active

40,Mukesh Kumar,1688,bowler,0.274120536919221,2025-03-04,9,High,Active

42,DL Chahar,1687,bowler,0.2037024906362138,2025-02-18,23,High,Active

43,MP Stoinis,1687,all-rounder,0.1322757008629201,2025-03-06,7,Medium,Active

44,TU Deshpande,1685,bowler,0.2328151955885558,2025-03-07,6,High,Active

45,V Kohli,1682,batsman,0.2266708863344226,2025-03-10,3,High,Active

46,SA Yadav,1681,batsman,0.1880500272735752,2025-03-06,7,Medium,Active

48,Mohammed Siraj,1680,bowler,0.2166201755652802,2025-03-10,3,High,Active

49,KH Pandya,1679,all-rounder,0.1455117279731457,2025-03-06,7,Medium,Active

50,AS Joseph,1678,bowler,0.1842081696837141,2025-01-10,62,Medium,Active

51,Ramandeep Singh,1678,batsman,0.1227286601005437,2025-03-12,1,Medium,Active

53,RD Gaikwad,1677,batsman,0.2721566253505889,2025-03-07,6,High,Active

55,C Green,1676,all-rounder,0.2023753417140124,2025-03-10,3,High,Active

59,WP Saha,1674,batsman,0.1288287168746103,2025-02-21,20,Medium,Active

60,JR Hazlewood,1673,bowler,0.2559926932770499,2024-12-11,92,High,Active

66,DP Conway,1668,batsman,0.3381288503022718,2024-12-31,72,High,Active

67,TA Boult,1666,bowler,0.2491952980329608,2025-03-11,2,High,Active

68,Shivam Mavi,1666,bowler,0.2135930103035365,2024-12-19,84,High,Active

70,CJ Jordan,1665,bowler,0.20669290426922,2024-12-30,73,High,Active

72,D Padikkal,1664,batsman,0.1537540515053282,2025-03-06,7,Medium,Active

73,N Rana,1663,batsman,0.1576427864066051,2025-03-01,12,Medium,Active

76,JM Bairstow,1661,batsman,0.2384661875597582,2025-03-05,8,High,Active

80,Shahbaz Ahmed,1657,all-rounder,0.0978097955547407,2025-03-12,1,Low,Active

81,Kuldeep Yadav,1655,bowler,0.2187157283032079,2025-03-04,9,High,Active

82,Swapnil Singh,1655,bowler,0.1356704822954823,2025-03-10,3,Medium,Active

84,RM Patidar,1653,batsman,0.2699242135463456,2025-03-10,3,High,Active

86,MS Wade,1650,batsman,0.0597805059523809,2025-01-24,48,Low,Active

87,PJ Cummins,1649,bowler,0.2382118695103382,2025-03-12,1,High,Active

89,F du Plessis,1648,batsman,0.233369268756425,2025-03-10,3,High,Active

91,H Klaasen,1647,batsman,0.2720699090757131,2025-03-12,1,High,Active

92,MP Yadav,1647,bowler,0.3689393939393939,2025-02-17,24,High,Active

93,R Tewatia,1645,all-rounder,0.113811703250095,2025-02-28,13,Medium,Active

94,Rashid Khan,1645,bowler,0.2983581851650035,2025-02-28,13,High,Active

95,RA Jadeja,1645,all-rounder,0.1539286921994834,2025-03-07,6,Medium,Active

