team1,team2,venue,team1_avg_elo,team2_avg_elo,team1_avg_form,team2_avg_form,team2_batsmen_avg_elo,team2_batsmen_avg_form,team1_last_5_wins,team2_last_5_wins,team1_vs_team2_matches,team1_vs_team2_wins,team2_vs_team1_wins,head_to_head_wins,head_to_head_losses,team1_won
Royal Challengers Bangalore,Kolkata Knight Riders,M Chinnaswamy Stadium,1543.111111111111,1566.0,0.1351188487167851,0.1566984013876995,1562.8,0.1550161413811004,0.0,0.0,32,14,18,14,20,0
Kings XI Punjab,Chennai Super Kings,Punjab Cricket Association Stadium,1620.2727272727273,1537.5,0.1876737257602616,0.1554620211171828,1534.0,0.1280025046639461,0.0,0.0,23,9,14,14,16,0
Delhi Capitals,Rajasthan Royals,Arun Jaitley Stadium,1587.909090909091,1576.375,0.1320350517154429,0.2246021305133344,1580.6666666666667,0.1848735906251795,0.0,0.0,18,7,11,14,15,1
Mumbai Indians,Royal Challengers Bangalore,Wankhede Stadium,1556.5,1589.1818181818182,0.1623992733278388,0.1544013922092439,1565.4,0.1197140014920336,0.0,0.0,32,18,14,19,14,0
Kolkata Knight Riders,Sunrisers Hyderabad,Eden Gardens,1534.4545454545455,1561.0,0.166267230773128,0.1393206827619224,1552.2,0.1232677840364779,1.0,0.0,9,7,2,26,11,1
Rajasthan Royals,Kings XI Punjab,Sawai Mansingh Stadium,1537.2727272727273,1592.0,0.1504282586999421,0.1492924162561555,1569.6666666666667,0.0770881932196746,0.0,0.0,21,12,9,16,12,1
Sunrisers Hyderabad,Delhi Capitals,Rajiv Gandhi International Stadium,1526.909090909091,1558.125,0.1751608289147525,0.2208840330714237,1580.6666666666667,0.1848735906251795,0.0,1.0,11,4,7,17,18,0
Chennai Super Kings,Mumbai Indians,MA Chidambaram Stadium,1620.2727272727273,1550.7272727272727,0.1876737257602616,0.1619319049400949,1483.6666666666667,0.0985376566111629,1.0,0.0,37,17,20,17,20,1
Sunrisers Hyderabad,Rajasthan Royals,Rajiv Gandhi International Stadium,1538.7,1601.2727272727273,0.1823528002831607,0.162215375727134,1603.6666666666667,0.1244723779465955,0.0,1.0,9,2,7,13,16,0
Kings XI Punjab,Mumbai Indians,Punjab Cricket Association Stadium,1549.8181818181818,1555.3636363636365,0.1501725216909247,0.1730012019294678,1495.25,0.1043438091791475,0.0,0.0,26,12,14,15,17,1
Royal Challengers Bangalore,Rajasthan Royals,M Chinnaswamy Stadium,1590.7272727272727,1620.5555555555557,0.1642144156603125,0.1955972245923916,1567.0,0.0947641888229928,1.0,2.0,29,15,12,15,14,0
