Player,ELO,Role,Form,LastPlayed,DaysSinceLastMatch
SL Malinga,1838,bowler,0.31220151573915694,2024-04-07,340
CV Varun,1804,bowler,0.25293710475684156,2025-03-12,1
MA Starc,1794,bowler,0.30520974949737495,2025-03-12,1
SB Jakati,1780,bowler,0.1972886000426166,2023-10-24,506
DE Bollinger,1776,bowler,0.3121460346021749,2022-12-13,821
MEK Hussey,1756,batsman,0.23603497585617325,2023-08-12,579
Shubman Gill,1756,batsman,0.22550243756468055,2025-02-28,13
SP Narine,1751,bowler,0.2648039750023984,2025-03-12,1
Imran Tahir,1746,bowler,0.2827614420122448,2024-06-25,261
Mohammed Shami,1743,bowler,0.25057353725350345,2024-12-31,72
NM Coulter-Nile,1742,bowler,0.2841865066809665,2024-08-10,215
VR Iyer,1742,batsman,0.20118627064914843,2025-03-12,1
Sohail Tanvir,1739,bowler,0.41909320952799217,2022-05-10,1038
AD Russell,1738,all-rounder,0.2071456262392586,2025-03-12,1
SS Iyer,1736,batsman,0.18195068736888254,2025-03-12,1
PD Salt,1735,batsman,0.31447222866850194,2025-03-01,12
Harshit Rana,1734,bowler,0.25997734214077706,2025-03-12,1
L Ngidi,1732,bowler,0.36024542124542125,2024-07-03,253
Yash Dayal,1731,bowler,0.21107326007326008,2025-03-10,3
SK Raina,1727,batsman,0.19672074571462025,2024-08-01,224
Q de Kock,1726,batsman,0.20738458828436193,2025-03-04,9
R Vinay Kumar,1726,bowler,0.24124359848232355,2023-12-14,455
Abhishek Sharma,1724,batsman,0.18855149177612618,2025-03-12,1
SR Tendulkar,1720,batsman,0.1789945047749265,2023-04-02,711
LMP Simmons,1719,batsman,0.2744945243706759,2023-12-09,460
MM Sharma,1718,bowler,0.2534671631496116,2025-02-28,13
L Balaji,1716,bowler,0.23959614854800748,2023-06-14,638
TM Head,1715,batsman,0.2518903741237257,2025-03-12,1
AB de Villiers,1715,batsman,0.24757294467955773,2024-08-03,222
A Nehra,1712,bowler,0.2744073577645446,2023-11-23,476
JC Buttler,1711,batsman,0.2413071925530475,2025-03-02,11
KV Sharma,1709,bowler,0.20531685251235454,2025-03-10,3
I Sharma,1708,bowler,0.19032660062691165,2025-03-04,9
M Prasidh Krishna,1707,bowler,0.20545613939328525,2024-10-18,146
LH Ferguson,1707,bowler,0.24360334897925476,2025-03-10,3
VG Arora,1706,bowler,0.19747020849520852,2025-03-12,1
SO Hetmyer,1701,batsman,0.15295898292127255,2025-03-11,2
Harbhajan Singh,1701,bowler,0.23655141750338482,2024-06-16,270
RR Pant,1700,batsman,0.24488090000803395,2025-03-04,9
A Mishra,1697,bowler,0.24602616051501092,2025-02-13,28
